/local/home/dancomar/ijcar26/bench100000/formula_0000000046946b8d.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000035c715fb.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000008b6d9416.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000beba1910.smt2  ; 113 113 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_000000005196aaa9.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000001f16d0e4.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000000800bc1c.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000b47fbdb2.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000183da82b.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000e11c8ecd.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000001f18a8ea.smt2  ; 102 102 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_0000000027979739.smt2  ; 1528 1528 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_000000001d0eeffb.smt2  ; 110 110 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_0000000068ac5147.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000001ccdd821.smt2  ; 544 544 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_0000000009b8b296.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000018c3f10e.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000046d4b048.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000003e3fd2d7.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000df560f06.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000090df81b9.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000005b95c748.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000002058646d.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000000dd21663.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000047baff48.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000aa3c9376.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000001d3dbed3.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000094c996c9.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000003d10b3e6.smt2  ; 225 225 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_0000000044207a33.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000f5f296ef.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000006cba4425.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000005f9cd999.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000628726ca.smt2  ; 205 204 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000865cd91e.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000a1fbe2f0.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000034a3f823.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000067b9a409.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000ef93cd51.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000009f7cfbfd.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000099c33000.smt2  ; 697 697 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000771f0334.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000e1dc5a8a.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000d8e31a43.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000008895361.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000d6c114ae.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000f14a5bfb.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000a00f0e69.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000ab75b282.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000005c793c99.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000107421b6.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000bde40b5b.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000002ad2d5c9.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000031fff614.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000b79dbbc7.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000003318c8f4.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000c70582b5.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_0000000094c1a21f.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000c6bae1df.smt2  ; 0 0 (s) ; s unsat 
/local/home/dancomar/ijcar26/bench100000/formula_000000008c989e13.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000c3b3a3a9.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_000000008ae75f26.smt2  ; 167 167 (s) ; n 
/local/home/dancomar/ijcar26/bench100000/formula_00000000be26230e.smt2  ; 0 0 (s) ; s sat 
/local/home/dancomar/ijcar26/bench100000/formula_00000000a2b26bbb.smt2  ; 0 0 (s) ; s sat 
